MyUniID,NS1,refCoupNum,coup1,coup2,coup3,interviewDt
829,10,61100,91075,91073,91074,1586862133000
830,14,61101,11102,11100,11101,1586699218000
840,14,61102,61105,61104,61103,1586696265000
843,3,NA,71001,71003,71002,1583686282000
855,10,31187,NA,NA,NA,1587906026000
905,9,31101,31139,31138,31140,1586705893000
906,10,81063,NA,NA,NA,1585152015000
920,12,31139,6144,6142,6143,1586868683000
946,16,31099,41191,41193,41192,1586967445000
956,11,41140,31184,31185,31186,1587300680000
963,6,31058,NA,NA,NA,1585144631000
965,12,41174,NA,NA,NA,1587304655000
973,10,31100,41141,41142,41140,1586774553000
982,10,31020,NA,NA,NA,1585068777000
998,15,31140,41174,41173,41175,1586879945000
1009,13,41173,31182,31183,31181,1587039859000
1019,11,31057,31089,31088,31087,1585567845000
1023,11,51172,71156,71155,71154,1586783907000
1030,7,31056,NA,NA,NA,1585150112000
1035,20,31089,NA,NA,NA,1586179366000
1048,8,31041,31070,31071,31069,1585056084000
1067,19,41084,NA,NA,NA,1585488048000
1077,23,31042,81062,81061,81063,1585063945000
1104,13,31183,6166,6167,6168,1587298793000
1114,10,11129,6178,6179,6180,1587387706000
1128,18,31138,11128,11127,11129,1586871502000
1131,11,31070,41085,41084,41083,1585149707000
1133,10,11128,31187,31188,31189,1587307443000
1174,10,61034,NA,NA,NA,1584894935000
1175,18,11106,11139,11140,11141,1586957673000
1178,15,41160,91106,91107,91108,1587303008000
1188,13,61106,91095,91094,91096,1586958964000
1195,12,61035,NA,NA,NA,1584892497000
1218,15,61007,91006,91005,91004,1584285973000
1275,10,61157,61185,61184,61186,1587390065000
1298,20,51155,61159,61158,61157,1587297257000
1333,5,NA,11001,11002,11003,1583771229000
1383,12,91115,11180,11181,11179,1587481390000
1460,10,61091,91060,91058,91059,1586782626000
1463,8,11075,NA,NA,NA,1585140753000
1464,3,51043,61024,61022,61023,1584450449000
1470,3,61024,NA,NA,NA,1584529902000
1485,15,11064,61066,61065,61064,1585139074000
1486,15,61023,11073,11074,11075,1585063277000
1487,15,91003,51043,51044,51045,1584363077000
1494,12,11057,NA,NA,NA,1584880626000
1495,11,51045,NA,NA,NA,1584976449000
1498,11,11029,11040,11042,11041,1584455157000
1509,10,11028,91018,91017,91016,1584532702000
1513,8,91071,91103,91104,91105,1587297629000
1516,15,91018,NA,NA,NA,1584983129000
1534,7,11041,61033,61032,61031,1584616243000
1543,20,11008,91001,91002,91003,1583939887000
1559,7,91049,91070,91072,91071,1586797191000
1564,17,91001,61026,61025,61027,1584531447000
1567,12,61026,NA,NA,NA,1584966398000
1592,18,71054,6045,6044,6043,1584962447000
1597,15,91063,91084,91083,91082,1586872799000
1603,4,51038,71049,71051,71050,1584538791000
1605,12,6016,NA,NA,NA,1585485056000
