MyUniID,NS1,refCoupNum,coup1,coup2,coup3,interviewDt
4752,11,31153,31216,31215,31214,1587557660000
4814,3,61006,51036,51034,51035,1584282466000
4822,16,41103,41147,41148,41146,1586784577000
4823,12,6120,31172,31173,31174,1586956473000
4827,12,31154,NA,NA,NA,1587555310000
4828,13,6153,6169,6170,6171,1587304082000
4831,13,61159,NA,NA,NA,1587915645000
4836,4,6009,51079,51081,51080,1584619116000
4838,6,11018,31053,31054,31055,1584969187000
4839,20,71135,11162,11161,11160,1587309671000
4841,10,41075,31113,31111,31112,1586264524000
4849,11,21089,NA,NA,NA,1588170144000
4852,3,11162,NA,NA,NA,1587563057000
4853,36,11019,41038,41039,41037,1584454519000
4877,10,71013,11016,11017,11018,1584285157000
4894,7,31055,31078,31079,31080,1585136663000
4897,10,51082,NA,NA,NA,1588086637000
4898,10,31054,41075,41074,41076,1585135739000
4900,12,41076,71170,71171,71169,1586867358000
4906,11,6089,31132,31133,31134,1586695535000
4915,5,31004,NA,NA,NA,1584535366000
4917,10,41044,41061,41059,41060,1584893920000
4946,19,41163,41203,41204,41205,1587305539000
4948,8,31005,11020,11019,11021,1584288284000
4952,13,81004,31006,31004,31005,1583930670000
4955,23,41136,31194,31195,31193,1587387650000
4956,19,41162,6161,6162,6160,1587035402000
4957,20,81003,81005,81006,81004,1583766278000
4960,15,41026,NA,NA,NA,1584966837000
4962,17,81005,41026,41025,41027,1584362050000
4965,8,41027,NA,NA,NA,1584443799000
4972,8,81006,31016,31015,31014,1584366349000
4983,10,41038,NA,NA,NA,1585055807000
4985,12,31014,41056,41057,41055,1584543236000
4989,8,41057,NA,NA,NA,1585050514000
4991,10,81059,6190,6191,6192,1587480127000
4993,13,81088,6112,6113,6114,1586708576000
4994,25,41037,81048,81046,81047,1584970479000
4999,10,31079,NA,NA,NA,1585577879000
5006,20,41039,NA,NA,NA,1584962875000
5010,10,71175,21090,21088,21089,1587564774000
5011,7,51154,NA,NA,NA,1586701135000
5038,11,41074,81075,81074,81073,1585485613000
5057,15,41101,81089,81088,81090,1586265128000
5084,12,6068,NA,NA,NA,1585744323000
5093,10,NA,21003,21001,21002,1583750473000
5098,10,51194,51267,51268,51266,1587564277000
5106,10,61133,71233,71234,71232,1587565151000
5109,16,61122,11159,11158,11157,1587307454000
5111,11,6008,6067,6068,6069,1585568526000
5114,10,51080,51257,51258,51259,1587558249000
5122,10,71149,71181,71182,71183,1586958557000
5131,11,41100,31110,31109,31108,1586262157000
5137,18,81046,NA,NA,NA,1585658214000
5152,13,71118,51157,51156,51155,1586431402000
5167,17,6103,71136,71138,71137,1586698782000
5182,17,51091,NA,NA,NA,1585483409000
5184,10,71150,NA,NA,NA,1587476495000
5187,17,51141,71119,71120,71118,1586265676000
5188,11,51142,6088,6090,6089,1586264217000
5190,10,51153,6103,6104,6105,1586437365000
5191,13,51152,61116,61115,61117,1586784930000
5214,14,51138,51142,51141,51140,1586178076000
5215,14,51140,71146,71145,71147,1586775348000
5216,11,6090,51150,51149,51151,1586348308000
5223,12,71119,71148,71150,71149,1586777629000
5226,6,11160,NA,NA,NA,1587557502000
5228,16,6104,71135,71133,71134,1586695769000
5230,11,51195,71193,71194,71195,1587302875000
5231,18,91015,51090,51089,51088,1584883007000
5242,12,6117,6193,6194,6195,1587559647000
5243,20,51156,71177,71176,71175,1586951061000
5249,16,71138,61133,61135,61134,1586948446000
5253,15,31134,6115,6116,6117,1586778945000
5254,10,21002,51012,51011,51010,1583935101000
5259,6,21003,NA,NA,NA,1584453424000
5261,15,41056,NA,NA,NA,1584879752000
5270,21,51157,71223,71224,71225,1587483472000
5282,4,71015,6009,6007,6008,1584275694000
5284,24,51089,81058,81059,81060,1585058327000
5295,9,21001,71015,71013,71014,1583935283000
5296,8,51012,NA,NA,NA,1584454373000
5297,20,71014,NA,NA,NA,1584462818000
5298,6,6007,NA,NA,NA,1584890655000
5301,13,31130,51191,51192,51193,1586787995000
5302,11,41117,31129,31130,31131,1586692579000
5310,15,31116,NA,NA,NA,1586966048000
5326,17,51010,91015,91013,91014,1584448542000
5327,14,51092,NA,NA,NA,1585495806000
5328,6,91014,NA,NA,NA,1584889630000
5329,21,41060,NA,NA,NA,1.585496e+12
5330,5,51196,NA,NA,NA,1587640511000
5331,17,51149,21051,21049,21050,1587037016000
5338,6,71163,21035,21034,21036,1586867078000
5346,4,6193,NA,NA,NA,1587641117000
5353,10,71133,71163,71165,71164,1586791159000
5355,8,21090,NA,NA,NA,1588172583000
5356,12,6105,61121,61122,61123,1586791400000
5361,3,91013,51093,51092,51091,1584888316000
5366,16,11158,71213,71211,71212,1587398115000
5397,10,71176,NA,NA,NA,1587645784000
5406,15,71164,51194,51195,51196,1586862170000
5428,12,41102,31105,31106,31107,1586259128000
5458,10,6011,71043,71044,71045,1584462961000
5460,3,51074,NA,NA,NA,1584964710000
5473,8,71189,NA,NA,NA,1587567279000
5492,7,31006,41045,41043,41044,1584461429000
5496,5,71032,NA,NA,NA,1584459410000
5497,7,21067,NA,NA,NA,1587915530000
5502,13,71129,51189,51190,51188,1586785575000
5503,20,6045,71127,71128,71129,1586435022000
5515,12,6097,NA,NA,NA,1586870910000
5519,11,71127,21021,21020,21019,1586784860000
5522,10,71124,NA,NA,NA,1587034879000
5524,8,51205,21046,21048,21047,1586961118000
5527,10,71201,11192,11193,11191,1587569354000
5528,16,6039,NA,NA,NA,1585149918000
5530,5,71029,NA,NA,NA,1584458447000
5541,14,71044,NA,NA,NA,1585485047000
5549,13,71065,NA,NA,NA,1585580501000
5552,18,51137,6097,6099,6098,1586354601000
5559,18,21069,NA,NA,NA,1587555694000
5565,9,6063,21023,21022,21024,1586788100000
5566,15,6062,71172,71173,71174,1586871512000
5572,14,6037,6063,6062,6061,1585144212000
5573,16,51096,NA,NA,NA,1585494199000
5580,14,71066,6071,6072,6070,1585580575000
5585,14,51148,6095,6096,6094,1586348816000
5589,11,51083,51125,51127,51126,1585485097000
5591,7,81026,NA,NA,NA,1584965510000
5604,13,51028,NA,NA,NA,1584979797000
5610,10,71132,21069,21068,21067,1587396923000
5617,15,71188,51233,51234,51235,1587310954000
5620,14,51101,NA,NA,NA,1585574297000
5625,27,51145,51164,51165,51166,1586695087000
5626,10,71064,71187,71188,71189,1587038141000
5628,10,71168,NA,NA,NA,1587916483000
5630,13,51099,6075,6074,6073,1585654368000
5632,3,51026,51073,51074,51075,1584458417000
5635,9,51075,NA,NA,NA,1584976970000
5636,10,6010,51097,51099,51098,1584969815000
5640,14,51136,51139,51138,51137,1585667799000
5642,10,51102,51205,51203,51204,1586871219000
5645,18,51127,NA,NA,NA,1586273015000
5647,11,6072,51143,51144,51145,1586258615000
5649,16,6044,51119,51120,51121,1585222921000
5651,12,91017,11064,11065,11066,1584975199000
5654,10,71126,NA,NA,NA,1586790501000
5659,10,71187,NA,NA,NA,1587642659000
5662,12,51144,51184,51182,51183,1586781665000
5667,11,51078,NA,NA,NA,1585154353000
5669,10,6012,51077,51078,51076,1584461702000
5672,13,51121,71231,71230,71229,1587559720000
5673,13,51110,NA,NA,NA,1586358840000
5674,3,81025,NA,NA,NA,1584535212000
5679,10,51126,6079,6081,6080,1585740488000
5683,10,21021,21057,21056,21055,1587306885000
5684,10,71172,61144,61143,61142,1586957552000
5691,10,6038,NA,NA,NA,1585143938000
5692,10,71053,NA,NA,NA,1585665270000
5704,10,51165,NA,NA,NA,1586789774000
5718,8,71043,6037,6039,6038,1584887391000
5724,10,71027,51109,51107,51108,1585056276000
5731,10,51120,51185,51186,51187,1586783581000
5735,11,6099,21028,21029,21030,1586793130000
5737,16,6061,71130,71131,71132,1586693078000
5771,12,51107,NA,NA,NA,1586348967000
5780,6,61053,NA,NA,NA,1585067805000
5786,13,51119,71126,71125,71124,1586361653000
5794,5,81038,71062,71063,71061,1584966455000
5795,10,21063,61192,61191,61190,1587560152000
5798,10,51242,51262,51260,51261,1587560047000
5799,8,11005,81039,81038,81037,1584456059000
5802,31,NA,11004,11005,11006,1583843550000
5804,8,51219,NA,NA,NA,1587909272000
5810,10,6093,21009,21008,21007,1586694647000
5813,10,21007,51220,51219,51218,1587039815000
5816,15,71115,51169,51167,51168,1586700009000
5825,16,21009,NA,NA,NA,1586950478000
5839,6,6092,NA,NA,NA,1586781017000
5842,14,71061,71087,71086,71085,1585152091000
5846,10,6085,51163,51161,51162,1586692744000
5857,12,51161,71161,71160,71162,1586787979000
5859,10,51243,NA,NA,NA,1587905744000
5860,10,71086,6087,6085,6086,1586185320000
5863,44,6087,11120,11119,11118,1586864793000
5868,15,51181,71196,71198,71197,1587310673000
5878,12,71063,NA,NA,NA,1585227607000
5882,10,11123,51237,51236,51238,1587314035000
5883,6,81039,NA,NA,NA,1584894792000
5885,20,21039,51214,51213,51212,1586957217000
5893,10,71174,51230,51231,51232,1587303704000
5895,13,71062,51130,51129,51128,1585487583000
5903,10,6086,11136,11138,11137,1586954485000
5906,4,81037,NA,NA,NA,1584969524000
5909,10,51168,21038,21037,21039,1586870776000
5914,21,51179,NA,NA,NA,1586953137000
5923,13,11119,71228,71227,71226,1587555940000
5925,11,71117,11124,11126,11125,1586867023000
5930,11,71116,11121,11123,11122,1586866231000
5934,13,71085,6084,6083,6082,1586180242000
5947,10,6091,NA,NA,NA,1586958720000
5955,13,51130,6091,6092,6093,1586269619000
5956,10,61105,91067,91069,91068,1586794723000
5968,10,11122,NA,NA,NA,1587916881000
5988,10,71122,51180,51179,51181,1586779553000
5993,11,21026,71215,71214,71216,1587470408000
6025,16,61109,51198,51199,51197,1586864967000
6028,8,61110,51201,51200,51202,1586867680000
6039,13,51226,51248,51249,51250,1587481942000
6073,13,51129,71116,71117,71115,1586261788000
6074,19,61001,91009,91007,91008,1584377778000
6078,16,91009,6052,6053,6054,1585051008000
6079,10,51160,71139,71140,71141,1586702949000
6081,10,11137,NA,NA,NA,1587388443000
6082,19,71073,NA,NA,NA,1585663981000
6084,10,21062,NA,NA,NA,1588078133000
6105,10,61142,NA,NA,NA,1587642527000
6107,12,51249,NA,NA,NA,1587999713000
6108,12,71207,21076,21078,21077,1587484451000
6111,10,21076,NA,NA,NA,1588082694000
6113,25,61127,51226,51224,51225,1587297514000
6142,10,91008,71074,71073,71075,1585066150000
6148,20,51202,51227,51228,51229,1587300485000
6154,12,61111,51208,51207,51206,1586873030000
6163,15,71139,61111,61110,61109,1586777927000
6180,10,21061,NA,NA,NA,1587908166000
6182,16,71095,71153,71151,71152,1586782648000
6193,14,71074,71110,71111,71109,1585740373000
6210,13,51163,61129,61128,61127,1586867015000
6211,10,51255,NA,NA,NA,1587914816000
6216,4,71153,51270,51271,51269,1587566877000
6223,10,51260,NA,NA,NA,1588173737000
6238,21,11138,51243,51244,51242,1587468746000
6239,10,51169,51175,51174,51173,1586704510000
6248,21,6064,51158,51159,51160,1586434834000
6264,10,61191,NA,NA,NA,1587987440000
6275,22,81043,NA,NA,NA,1585219266000
6285,10,61129,71180,71179,71178,1586954822000
6292,13,6065,71096,71095,71094,1585580122000
6294,10,71178,71237,71236,71235,1587567929000
6304,11,61114,61154,61155,61156,1587042256000
6305,10,21005,61118,61120,61119,1586787585000
6307,12,61155,71208,71209,71210,1587394239000
6311,10,71075,71091,71092,71093,1585494525000
6341,10,71067,NA,NA,NA,1585567878000
6344,13,71209,NA,NA,NA,1587466792000
6347,10,51215,21070,21071,21072,1587467649000
6380,18,21045,51217,51216,51215,1587035496000
6391,10,61199,NA,NA,NA,1588077515000
6400,10,51216,21064,21065,21066,1587393825000
6402,16,21004,51178,51177,51176,1586777116000
6404,5,21032,61199,61201,61200,1587567451000
6405,10,61201,NA,NA,NA,1588075870000
6437,10,71155,21032,21031,21033,1586862401000
6463,10,61113,61195,61194,61193,1587563830000
6475,13,51177,51241,51239,51240,1587397050000
6476,10,51158,51171,51170,51172,1586702538000
6477,12,71121,61114,61112,61113,1586782582000
6478,12,51239,NA,NA,NA,1587918211000
6479,18,71091,21006,21004,21005,1586692507000
6488,10,71093,71123,71122,71121,1586347087000
6514,12,71210,21073,21074,21075,1587475088000
6536,13,71069,NA,NA,NA,1585487619000
6549,6,71022,81044,81045,81043,1584545718000
6550,10,51176,21061,21063,21062,1587383217000
6554,10,21065,NA,NA,NA,1587640992000
6570,11,61156,NA,NA,NA,1587556267000
6585,8,91007,71067,71068,71069,1584976436000
6602,5,51069,51084,51083,51082,1584878566000
6609,7,71026,51071,51070,51072,1584456696000
6617,6,71017,NA,NA,NA,1584454475000
6622,5,71042,6030,6029,6028,1584617966000
6635,6,6002,51025,51026,51027,1584275276000
6640,11,71166,71200,71201,71199,1587314477000
6645,3,51022,81022,81024,81023,1584283181000
6646,12,6022,51114,51113,51115,1585066017000
6650,10,71040,NA,NA,NA,1584617938000
6657,10,6071,51148,51147,51146,1586275843000
6672,14,71072,71108,71106,71107,1585673439000
6673,6,51076,71054,71053,71052,1584618566000
6675,5,51077,NA,NA,NA,1584975366000
6684,15,71028,91011,91010,91012,1584443029000
6707,12,6074,71166,71168,71167,1586793357000
6708,9,51032,51058,51059,51060,1584447727000
6711,20,51068,NA,NA,NA,1584619935000
6721,16,51033,51065,51064,51066,1584449906000
6725,5,91011,21027,21026,21025,1586790050000
6726,6,51072,6024,6023,6022,1584530699000
6729,8,51073,6035,6034,6036,1584880628000
6731,11,51094,51117,51116,51118,1585139169000
6734,4,71033,51068,51069,51067,1584454277000
6736,10,51058,NA,NA,NA,1584622114000
6738,9,91012,71066,71065,71064,1584971086000
6741,18,71023,6010,6011,6012,1584278644000
6753,5,81023,NA,NA,NA,1584454759000
6758,10,51024,71033,71031,71032,1584279500000
6763,11,6021,51110,51112,51111,1585062544000
6764,3,51023,81026,81027,81025,1584285143000
6765,3,81027,51062,51061,51063,1584448943000
6766,10,51086,51136,51134,51135,1585655876000
6771,7,51070,51102,51101,51100,1584975696000
6782,12,51117,71097,71098,71099,1585657194000
6783,15,51071,NA,NA,NA,1585224649000
6790,8,81019,6027,6026,6025,1584532589000
6791,12,6025,NA,NA,NA,1585055282000
6797,15,6019,6057,6056,6055,1585066895000
6798,13,81022,6019,6020,6021,1584447538000
6801,4,51020,51030,51028,51029,1584278509000
6808,4,91010,51087,51085,51086,1584880696000
6809,16,51118,NA,NA,NA,1586351999000
6814,5,51027,71042,71041,71040,1584460197000
6818,5,51021,71029,71030,71028,1584277903000
6825,16,51060,51094,51095,51096,1584965967000
6831,6,51019,NA,NA,NA,1584879871000
6848,10,6003,51019,51020,51021,1.584013e+12
6878,10,51029,NA,NA,NA,1584450588000
6881,10,6023,NA,NA,NA,1585050812000
